title,author,poem
햇살의 기쁨,송정숙,"아무도 없이 홀로
편한 자세로 자유로이
봄 햇살이 눈부신 날

밥 한 그릇에
양념장, 김 몇 조각
소박한 밥상, 황제다

멀리 있는 향기보다
가까이 있는 
바다 향기, 넓은 들 향기

어쩔 수 없는 소인이라
소박한 밥상으로
황제처럼 즐기는 점심 상

한 치 앞을 모르는 일이
사람의 일이니 지금
햇살의 기쁨을 즐기려네"
봄 숨결,송정숙,"평범한 하루의 시작
커피향으로 공간을 채우니
은은한 향이 몸 안으로 스민다

창밖 햇살은 봄 치장을 하고
겨울 속삭임에 넘어간 찬바람
꽃망울 잡아두려 하지만

봄볕과 한통속 되어버린 
땅속의 설렘 어찌 막을까
심술부리다 두 손 들겠지

새록새록 곁으로 오는
봄 숨결이 느껴지는 오늘
따뜻한 그대를 생각하며..."
아련한 봄의 애태움은 노래처럼 꿈이 일상이 된  아름다움과 그 열정,정세일,"아련한 봄의 애태움은 노래처럼 꿈이 일상이 된 
아름다움과 그 열정
무엇을 만져도 시냇물이 되어 흐르는 곳마다
천년의 성이 만들어지고
민들레의 강한 방패는
마음을 지킬 만하여
어떤 고요함의 도전에도 견고한 이룸이 있어
풀잎의 숲이 되고
수많은 화살을 가지고 있는
빠른 박자의 악보에
그 중심을 맞출 수 있는 전통과 활시위를 가집니다.
오월의  투구는
이제는 행진을 할 시간
향기의 중심에서 비켜가지 않도록 
아카시아 무지개를 
보라색을 깨우고 별빛이 설수 있는
창과 칼을 만들어
천년의 견고함의  성벽에 혼자서도 
그렇게 노래와 꿈으로 
스스로 아카시아 꽃이 되어  울타리를 만들어 당신을 기다립니다.
그래서 아름다운 날에요
가는 바람의 마음에 서서 비와 구름의
시새움과 토라짐을 보더라도
노래로 지켜낸
꿈이 있는 그림과 풍경과 아늑함 속으로 이제 가면
초록색의 기다림
도화지 한 장이 
숲속에 모든 아침 음악을 모아 책을 만들고
언제나 한 페이지 남겨놓은 
별들이 나무를 처음 소개할 수 있도록 
견고한 따듯함이 세운
그리고 언제나 변함없는 
초록색의  메모지와 칠판
나뭇잎 종소리 
별빛으로 단 한번에 찾아낸 새소리들이 말하는
처음과 끝은 동일하고
네모반듯한
겨울과 여름이 소낙비처럼  동시에 메아리를 가집니다. 
노래처럼 긴 여운을 닮은  팔분음표 안에"
문신,이재봉,"검정모를 눌러쓴 여자가
눈매를 씰룩거리며 지나간다 
왼쪽 팔목에는 화살이 꽂힌 하트가  
오른쪽 팔뚝에는 뭔가를 
의미하는 듯한 레터링이 새겨져 있다

그녀의 몸 곳곳엔 
뜨거운 사랑이 녹아내린 자국이 있다
온몸을 화판 삼아 자신의 개인사를
그려낸 화려한 이 

내 몸에도 
지워지지 않는 문신이 있다 
기억의 수면 아래 깊숙이 
자리하고 있던 강렬한 감정이 
문신으로 남아 있다"
문신,이재봉,"검정모를 눌러쓴 여자가
눈매를 씰룩거리며 지나간다 
왼쪽 팔목에는 화살이 꽂힌 하트가  
오른쪽 팔뚝에는 뭔가를 
의미하는 듯한 레터링이 새겨져 있다

그녀의 몸 곳곳엔 
뜨거운 사랑이 녹아내린 자국이 있다
온몸을 화판 삼아 자신의 개인사를
그려낸 화려한 이 

내 몸에도 
지워지지 않는 문신이 있다 
기억의 수면 아래 깊숙이 
자리하고 있던 강렬한 감정이 
문신으로 남아 있다"
무지개 크레용속에 한날의 꿈의 이야기들은,정세일,"무지개 크레용속에  한날의 꿈의 이야기들은 얼마나 동화 속에
당신의 모습을 닮았는가.
별들의 이야기
밤을 새워 꽃처럼 생각을 주고받는
나비들의 무대에는 
초록색의 첫 장이 되는
나무들이 그려놓은 
푸른 하늘이 보이고 
천만 개의 별들의 모여 노래하는 곳에는  
오월의 장미꽃
빛남의 시절을 말하고 싶은
음악회는 오직 당신의 마음속에 한곳을 꽃피운
숲이라고 편지를 보낸
아카시아 향기들이 오밀조밀 모여
소낙비의 언덕에서
함성과 비가 되는 고요함을 보여주고 있습니다.
그래서 아름다움과  꿈은 달콤하게
별빛으로 절여지고
마음의 네모 혹을 세모를 그린
달빛 사이로 
노래의 사이사이에는  견고하게
벽돌로 쌓아놓은 
꿈과 열정   보라색이
이제 동화 속에 들어가  숲과 나무가 될 수 있도록
꿈만이 가지고 있는 모종삽
그리고 안개 속에 초대한 이슬비 거울
스스로 비쳐보는 
당신의 마음이 일하는 
그렇게 강물 같은 별빛이 
깊음으로 연출한 달무리와 함께 꽃들의 행렬이란
노래의 언덕을 따라
꽃이 피는 동산에 
처음 소풍을 반달이 올 때
살며시 목마름도 넣어둔 것을 알려줍니다.  
그래서 아름다운 날에요
초생달의 푸른 시간
바람으로   피고 지고 또 다시 생겨나는
그리움의 기도시간이면
이제 흔들림이 없는 소리는 푸른 시간 동화 속에 나뭇잎 일렁이는 잔잔한 꿈을 읽어줍니다"
삼월 첫날 아침에,김덕성,"삼월 첫날 봄이 온다기에 
아침 일찍 도봉산 산자락을 걷는다

피어오르는 골안개
휘감은 산자락에 열리는 고고한 아침
파아란 하늘 물들이는 빛나는 햇살
화려한 자태를 마음껏 뽐내고

산등성을 넘어 오는 봄바람
산자락 밑엔 벌써 봄이 왔는가보다
아낙네 서넛이 봄나물 캐고

산마루 넘어 온 바람은
나무사이로 스쳐 온 정화된 공기
산소까지 보충해 받으며
몸 씻고 마음 씻으며 봄을 마시며
나라사랑 한마음 되어 열리는
삼월의 아침이여
삼일절을 새기며 희망으로 열자"
삼일절,靑山 손병흥,"일본의 식민통치에
강력히 항거하기 위해

나라 빼앗긴 설움
독립 향한 열망 지닌 채  

숭고한 민족 위한
굳세고 간절한 마음으로

평화적인 총궐기로
독립선언서를 발표했던 
 
애국선열들의 나라사랑정신
되새겨보는 날  

펄럭이던 태극기 물결 울려
퍼진 대한독립만세 
 
세계만방을 향해
자주독립 선언했던 만세운동  

기미년 삼월일일 정오
밀물같이 터진 뜻 되새겨  

고매한 민족의 그 정신
영원히 기념하기 위하여  

온 국민 다함께 해서
기념 하는 뜻 깊은 국경일

    1

   

   
   

        
    

   
     

   
     

    
     

      
  

   
   

   1"
어느날 눈물의 숲속에 때론 별들의 모퉁이에 있을지라도  그 빛남의 근원은,정세일,"어느날 눈물의 숲속에 때론 별들의 모퉁이에 있을지라도
그 빛남의 근원은
어머니의 오월
풀잎들에게 새벽의 기도를 알려주신
언제나 푸르게 깨어있어
숲의 고귀한 정신을 가진
나무가 될 때까지
깊은 뿌리를 내리고
강물의 근처 강나루가 있는 물안개는 아름답게
노래의 거울
장미꽃의 속삭임으로 바라봅니다. 
그래서 이슬비의 소리는 향기로 만들고
그  언약함의
기억의 처음 나사부터
견고하게 조립하면 
별빛은 밝음이 아닌 어두움에서도 일을 할 수 있습니다. 
천년의 계단을 걸어서
오월의 시작과 꿈은
밤하늘이 있는 그 찬란함의 깨어남으로
별빛과 성급하게 
노래의 언덕에 이르고
꽃들의 집을 다시 세운 날이면
빗소리의 마음
풀잎처럼 자고 나면 키가 크고 마음도 강한
별빛에 넣어
여름날에 초록색 편지를 닮은 
처음과 끝에 보낼 때마다
언제나 당신은 그리움이라고 적어놓습니다
그래서 아름다운 날에요
별들의 마음을 읽어
노래에 숨겨진 새들의 은근하고
비밀스런 이야기를 알게 된
수필이면 길을 읽어버리지 않도록
도란도란
나뭇잎 느낌이 소란스러움을 알려주고
아름다움의 주제
좁은 골목 길이된 찬란함과 빛남도
고요함의 시간
별빛이 서있는 저녁시간에 어리석은 고운 마음이 한달음에  도착합니다."
어디쯤 와 있을까,송정숙,"기차 타고 남쪽으로 
봄을 찾아 나섰다

어디쯤 와  있을까

건너편 보이는 
능선에 있을까
저 들판 끝쯤 왔을까
홀로 누운 저 무덤가에
먼저 와  있을까

스님 목탁 소리
봄을 불러와 통도사 
홍매화는 피었는데
낮은 담장 어느 곳에도
매화는 기웃 거린다는 데

부드러운 봄기운은
바람결 타고 씨앗으로
산,들로 신나게 비행하다
눈 맞으면 슬며시 앉아
두런두런 한 살림 차리네"
햇살 빛나는 인생,김덕성,"벌거벗은 겨울나무에
봄비 촉촉하고 포근하게 적시니
환희의 흡족한 파란 미소

냉기가 가슴 깊이 흘러도
한결 따뜻한 온수로 씻어주는 아량
한 쌍의 산새 가지에서 부르는
사랑의 노래 들려오고

고요가 가슴 깊이 흐르는
구름 사이로 방끗이 내민 얼굴로
미소지우며 빛나는 햇살에서
사랑의 진미를 맛보리니

인생이 외로울 때면
웃음 잃지 않는 찬란한 태양을 보라
영혼도 너무 기뻐 밝게 웃으며
환하게 불꽃으로 피어오르는
사랑의 삶이 되리니"
누군가에겐 초록색 아름다움을 위해 별빛에게 양보해야할  꿈의 시작,정세일,"누군가에겐 초록색 아름다움을 위해 별빛에게 양보해야할
꿈의 시작
처음 장은 노래의 발걸음으로
반달의 샘물까지 이르고
고요하게 느리게 
그래서  소리의 근원이 되면 소란스럽지 않게
초생달의 예리함
이슬비의 작은 물방울을 잘라
투명하고 부드러운
손끝에 만져지는 외로움으로 말한
당신의 앞에 있는 이 아름다움은 천개의 눈을 가졌습니다.
순수의 곁에선 바람의 움직임
오월의 마음을 지휘하는 초록색과 그 너머 보내는
나무들의 마음에게
꿈은  함께하는 음악회는 열리고 
당신의 그리움이 
처음사랑이라고   말한
오늘은  꿈속에 있는  두근거림은   보라색이  말을 걸어옵니다. 
이렇게 노란 꿈은 아름다운 봄날
새들의 정원이 있고
고요한 아침이 있어
장미꽃 붉은 송이 
붉은색의 시간으로 만들어진 
별빛의 마음을 떠나지 못하고 
담장마다 별 하나  외로움으로  빛나게 됩니다.
그래서 때론 알 수 없는 두려움에도 
언제나 기도하는 
아름다움과 눈물은 별빛에 단 한번 빛나고 
생각을 안을 수 있는
그 정결함의 두근거림 
처음 날에  약속한
꽃들의 합창 속에 보이는
소낙비 눈으로 바라보는 그리움은 눈물의 의미를 알게 됩니다.  
처음의 소중함으로 보낸
강물처럼 때론  외로움도
다시 연못이 되는
마음속에 끊이지 않는 빗소리가 들려오고 
그래서  속삭임들은 
꽃들의  노래 속에 눈물 시린 강물을 오월의 마음만큼 부르고 있습니다."
작은 섬으로라도,신형식,"쌍화차에 동동 띄워주던 
잣 한 줌
밤이면 바다위로 떠올라

뭔 일 낼 것처럼 달려갔던 사람  
당당했던 그 모습 다 비우고
해탈하여 되돌아올 때까지 
잊지 않겠다고

가슴까지 차오르는
숨가쁨이 있더라도
그리운 것은 그리운 대로
떠 있어야겠다고

생각을 되새김질 하며
시간을 곱씹어 보며

떠 있어야겠다고"
하염없이 고운 햇살을 닮은 순수의 마음속에 들어있는  공교하고 찬란한 빛 하나,정세일,"하염없이 고운 햇살을 닮은 순수의 마음속에 들어있는
공교하고 찬란한 빛 하나
누구에게나 청춘이 이렇게  뜨거워지도록
고운 아침은
별빛의 심장을 붉게
바람의 마음이 되는 꿈을 가지고
오월의 하늘로 
이제 장미꽃은 날개를 가지고 
푸른 하늘을 날아 
강물 이 된  천년으로 갈 수 있는 이슬비의 시간을 열어둡니다
그래서 고운 아침이 볼 수 있는
비 내리는 날이 오고
아름다움이 잠든 곳에는
꿈과  앞산이 가슴이 아프도록 
이내 마음이 푸르고 나무들의  둥지로 만들어
아카시아 눈이 부신
하얀 새들의 
꿈 하나 당신의 마음에 봄과 여름을 노래하게 합니다.
그렇게 처음과 끝이 동일한
수선화와 이슬비 
강물이 채운 
향기의 작은 모퉁이도 스스로 위로하는
마음과 마음이  돌아서 가는 여울
그리고  나뭇잎의 떨림
외로움이 읽어보는
바람과 별빛 터널 앞과 뒤는
꿈이 되어  한잔의 따듯한 차 한 잔이 주는 의미를 찾아냅니다.
그래서 별들이 아침이
이슬비 창가에 앉아
흑백 사진의 틀과
동그라미 안에 들어있는 별빛의 문장을 발견하면
초록색 무지 개안에는
그리움의 책상이 있어
별빛과 종이 한 장 그리고 낙서를 숨겨놓았습니다
그렇게 서로 연관이 없는 것 같지만
모든 일과 행동에는 
순수가 기어처럼 작동하고 있으며
꿈의 첫 장에도 나사들은 
정교한 마침표를 찍는 잉크는 숲의 초록색을 안개로 가져옵니다"
지친 당신을 위하여,홍수희,"이제 너무 지쳤다는 너의 말
할 만큼 했다는 너의 말
이제 쉬어가고 싶다는 너의 말

그 말에서 
눈물 한 방울 또르르 떨어지더니
내 마음에 와락 안긴다

그랬구나,
누구나 그렇게 사는구나

타인의 슬픔이
내게 위로가 되기도 하는구나

나의 슬픔이여
너도 누군가에게 위로가 되어라"
동백을 기다리며,신형식,"수평선 위에 앉아
누군가를 기다립니다
뚜욱 뚝 고개 떨구던
그대를 기다립니다
동백인지 모란인지
제 이름 하나 적지 못한 그리움은
시방도 바다 위를 서성이다
마침내 붉은 입술을 터뜨리고  

갯바위에 몸을 던지며
날마다 내 이름 부르다 지쳐
조용히 기도하는 사람이 있다면
이제 그를 위해
나도 꽃으로 피어보렵니다.

고백의 뜨거움 한번 없이
내 곁을 맴돌던 겨울은
썰물에 실어보내고
지난 봄에도  
후두둑, 그렇게 고개 떨구던
그 분의 고백을
빨갛게 기다려봅니다.

사랑은
고독하게 지켜봄이 아니라 
누군가의 꽃으로 피는 것이라
떨어짐을 알면서도
혀끝에  꽃 같은 초롱불 켜고
누군가의 꽃으로
피어나는 것이라"
춘삼월 길에 서서,김덕성,"창문을 노크하는 빗소리
부드러운 봄 마중 소리 들려오고
봄소식을 전하는 반가운 봄비
내 마음 황홀하게 하는데

봄의 팡파르 울린다
살짝 얼굴 내민 붉은 홍매화
봄의 앞장 서 봄을 알리는 목련
봄의 서곡과 함께 춘삼월에는
동면에서 깨어나는 만물과 함께
나도 깨어나 봄 꾸미고 싶다

두절되었던 친구에게
메일이나 전화로 우정을 나누며
서운 했던 감정도 미움도
말끔히 봄비에 씻어버리고
대나무처럼 마음을 비우고
사랑의 끈을 매어 함께 살고 싶다
혼자 살 수 없는 세상이기에"
어머니의 닮은 나뭇잎 그리움의 모습 그대로인 별인 것을  이토록 알지 못해,정세일,"어머니의 닮은 나뭇잎 그리움의 모습 그대로인 별인 것을
이토록 알지 못해
다시 나리꽃은 잠들고
꿈에게 보낸 편지
언젠가 반달의 앞산에 별빛으로 오도록
초생달 골목길을 살며시 놓아봅니다
당신의 마음에
그래서 무지개다리가 보이는 
그리움의 창문과 그림자
보라색의 기둥을 건설한 시간이 오면
숲의 중심에 있는
딱따구리의 통나무
천년을 골라 건조시켜놓은
싸리나무는 
대패로 곱게 밀어놓은
네모난 달빛 소리에  
아카시아 시간 그리움을 넣어  나사로  조립합니다.
그래서 아름다운 날에요
천년을 주고 빌려올 수 있는 마음의 외로움
그리움의 낮아짐이 있어
이렇게 기다릴 수 있는 물음표 하나
낮아짐의 비롯됨을 알아가야 하는
꽃들의 전설
동전을 주고  매듭으로  
고요함과 
진실의 두 갈래의 향기로 새겨놓은
마음의 노래
빗소리가 있는 
동쪽과 서쪽을 연결해 놓으면 
고운 아침의 수필과 동행은
어제의 꽃잎처럼
꿈과 열정이 흔들리지 않는 시간이 옵니다  
그래서 아름다운 날에요
나무와 숲과  나비들의 집에 열린
음악회의 시작
꽃들의 향기는 노래하고
오월의 향기에게 전하는 어머니의 심장소리
종달새의 부르는 소리는
한 장씩 손이 푸를 때마다 초록색 안에 노을만이 악보로 건네지게 됩니다."
초록색의 전화기 속에 들어있는  꽃잎 엽서들의 분홍빛 밑줄,정세일,"초록색의 전화기 속에 들어있는 
꽃잎 엽서들의 분홍빛 밑줄
때론 언약함을 
어느 곳에서도 쉽게 찾을 수 있도록
봄의 나약함도 일어나고
이제는 꽃을 피우고 잉크를 가져와
누군가에게
수필의 언덕이 되어있는
그리움의 시간을 알려주도록
종이 수화기에 연결된 작은 실에서 그 떨림을 써내려 갑니다. 
대부분 그리움은 처음부터 
언제나 당신을   기다리고 있었음을
별들의 앞마당에 있는
푸른 청개구리들이  
반달의 출렁임으로  채우고
이렇게 푸른 하늘을 뛰어  서편 그늘에서 기다립니다.
이 아름다움이  비가 내리고
소리의 언덕 너머
무지개 음악회가 다시 열리면
소낙비로 초대받은
비오는 날에 첼로와 같이 가야하는  동행은
어깨의 무거운 짐도
이렇게 깊은 소리로 내려놓을 수 있는  
천상의 목소리가 찾아와
꽃들의 저녁까지 깊게 마음을 울리게 됩니다. 
그래서 아름다운 날에요
별빛으로 만드는 저녁지붕위에 보이는
키 작은  굴뚝  
그렇게 연기와 고소함이 피어나고
풀잎으로 아궁이에 던져진  
저녁고을에는 
가을단풍과 붉은 고요함의 단 한 장이 
나뭇잎의 사랑을 
초록색으로  만들어진 심장에게 말하고 싶은
별빛 마음
일생에 단 하나의 꿈
그리움을 사올 수 있는 저녁 한 장 
그래서 저녁 노을 안에
단풍잎 새로움은 별빛과 빛남의 근원인 당신을 기다립니다."
정월 대보름,靑山 손병흥,"허공 끝 나부끼던 숨가쁜 세월
달집 태운 채 소원을 비는 모습

나물 반찬과 오곡찰밥 먹고서
지어 놓은 달집에 연을 매단 뒤

뒷동산에 둥근달이 떠오를때면
달집에 불을 붙여 액운 불살랐던

풍물 지신밟기 쥐불놀이 풍속
그리운 고향 풍경 시절 떠올라

꽹과리 북소리 장구소리 징소리
울려 퍼지던 휘영청 달 밝은 그날

       

   

       
       

        
        

        
           

   
         

  ,  ,"
5월 들길,성백군,"늙은 봄과 젊은 여름이
공생하는 을 걷는다

바랭이, 귀리, 개밀, 뚝새풀들
머리가 희다 
한 칠십은 되었을까

미루나무, 갯버들, 찔레
힘이 솟는다
이파리가 뛰어다니느라 초록으로 빛난다
반짝반짝  젊음이 눈부시다

젊음을 바라보는 늙은 봄은
여름을 의지하고
늙음을 뒤돌아보는 젊은 여름은
바람을 불러드려 홀씨를 실어 나른다.

여기저기
아주 귀, 개망초, 억새, 갈대, 야생 무
몰라 흰 꽃, 몰라 노랑꽃, 몰라 빨강 꽃
아는 꽃보다 모르는 꽃이 더 많다.

괜찮단다
언제 삶이 알고만 살았는가
몰라도 섞여 살다 보면 남도 친구가 된다고
5월 들길이 사람을 가르치려 든다

   1290  06032023"
울타리가 머리를 깎았다,성백군,"새벽, 길에 나와 보니까
측백나무 울타리가 머리를 깎았네요
네모반듯합니다
가지런합니다
주위가 산뜻하고 마음이 개운합니다

주변 바닥에 떨어진
잎들, 웃자란 가지들
왜 아니 아프겠습니까
저것들도 다 같은 피붙이인 것을

나도 이발하려
교회에 들렀습니다
마음에 돋아난 욕심, 교만,
하나님의 과녁에서 빗나간 새치들
말씀으로 골라내고 기도로 잘랐습니다

상처가 아물 때까지
울타리가 주인을 자랑하듯 나도 주님을 찬양하며
내 몫의 십자가를 가볍게 합니다.

   1289  06022023"
여생 2,문재학,"소산문 재학

 
세월 위로 부는 바람 같은 인생
황혼빛으로 되돌아보니
추억의 자국마다 고인 삶의 흔적들
덧없고도 허무하기만 하여라.

 
천금 같은 젊음 하나로
거친 세파 속에
행복의 수를 놓던
꿈결 같은 인생의 봄날은
아련한 그리움으로 살아있고.

 
계절은 돌아와도
떠나간 임들의 모습은
회상의 창가에
애달픈 환영으로 남아
심신을 아리게 한다.

 
짧은 꽃의 운명을 되새기면서
여생의 등불을 가슴에 안고
하루하루를 감사로 물들이며
보람의 빛으로 밝히고 싶어라"
처음과 끝,홍수희,"나보다 나를 더 잘 아시는 이여
나보다 나를 더 사랑하시는 이여

내 생애 을 아시는 이여
조마조마 눈 떼지 못하시는 이여

나의 처음과 끝이신 이여
있는 그대로 사랑이신 이여"
